Date,Open,High,Low,Close,Adj Close,Volume
2005-06-20,48.560001,49.090000,47.240002,47.369999,32.432331,53625200
2005-06-27,47.369999,49.049999,47.360001,48.279999,33.055359,47698200
2005-07-04,49.400002,50.000000,49.000000,49.900002,34.164516,47311500
2005-07-11,49.849998,50.689999,49.599998,50.250000,34.404152,45485000
2005-07-18,50.180000,50.349998,49.000000,49.540001,33.918045,47013000
2005-07-25,49.540001,50.009998,49.310001,49.349998,33.787964,34055700
2005-08-01,49.619999,49.869999,49.029999,49.320000,33.767429,42410700
2005-08-08,49.480000,49.750000,48.560001,48.700001,33.342930,45854200
2005-08-15,48.820000,49.150002,46.500000,46.580002,31.891460,74836100
2005-08-22,46.860001,47.189999,45.160000,45.700001,31.387930,61849600
2005-08-29,45.439999,45.950001,44.529999,44.549999,30.598082,84187500
2005-09-05,44.849998,46.119999,44.799999,45.889999,31.518429,51615300
2005-09-12,45.720001,46.480000,43.830002,43.869999,30.131021,158462500
2005-09-19,44.000000,44.240002,42.310001,43.200001,29.670860,128006400
2005-09-26,43.770000,43.869999,42.759998,43.820000,30.096691,78208200
2005-10-03,44.150002,44.450001,43.299999,44.029999,30.240923,77380400
2005-10-10,44.669998,45.259998,44.450001,45.040001,30.934628,76110400
2005-10-17,45.279999,46.570000,44.779999,45.720001,31.401655,71134700
2005-10-24,46.090000,46.349998,44.720001,45.500000,31.250561,62041300
2005-10-31,46.099998,48.130001,45.990002,47.689999,32.754704,73336800
2005-11-07,47.919998,49.480000,47.320000,49.000000,33.654449,64153700
2005-11-14,49.410000,49.799999,48.310001,49.500000,33.997845,62292300
2005-11-21,49.540001,50.869999,48.720001,50.490002,34.677811,43544800
2005-11-28,50.619999,50.660000,47.509998,47.970001,32.947029,81780500
2005-12-05,47.889999,48.459999,47.090000,48.080002,33.022572,74904100
2005-12-12,48.349998,49.709999,48.299999,49.270000,33.839882,69878800
2005-12-19,49.119999,49.740002,48.169998,48.340000,33.302128,40452700
2005-12-26,48.410000,48.450001,46.750000,46.799999,32.241180,38471800
2006-01-02,46.360001,46.660000,45.099998,45.880001,31.607386,79388700
2006-01-09,45.889999,46.599998,45.310001,45.400002,31.276722,64163200
2006-01-16,45.400002,45.889999,44.610001,45.000000,31.001163,67804700
2006-01-23,45.000000,46.520000,44.540001,45.840000,31.579838,82967700
2006-01-30,46.400002,46.950001,45.439999,45.490002,31.338718,73230000
2006-02-06,45.439999,45.970001,44.520000,45.750000,31.517836,61888700
2006-02-13,45.470001,47.020000,45.279999,46.099998,31.758953,58298700
2006-02-20,45.709999,46.459999,45.259998,45.450001,31.311167,49763600
2006-02-27,45.549999,45.880001,44.860001,45.330002,31.228481,55423200
2006-03-06,45.490002,45.630001,44.970001,45.330002,31.228481,52029500
2006-03-13,45.349998,46.790001,45.160000,46.689999,32.165401,67537100
2006-03-20,47.029999,48.869999,46.990002,48.189999,33.321712,67077600
2006-03-27,48.189999,48.320000,47.200001,47.240002,32.664825,47274500
2006-04-03,47.270000,47.310001,45.810001,46.020000,31.821243,51809200
2006-04-10,45.980000,46.009998,45.270000,45.770000,31.648373,35720400
2006-04-17,45.799999,46.709999,45.630001,45.820000,31.682936,49477200
2006-04-24,45.619999,46.080002,44.990002,45.029999,31.136667,60100300
2006-05-01,45.919998,47.340000,45.540001,47.250000,32.671738,59604200
2006-05-08,47.250000,48.169998,46.529999,46.540001,32.180805,56447600
2006-05-15,46.250000,48.310001,46.080002,47.320000,32.720127,74218800
2006-05-22,47.290001,50.000000,47.099998,49.650002,34.451649,80414200
2006-05-29,48.619999,48.720001,47.320000,47.830002,33.188782,58567800
2006-06-05,47.770000,48.040001,46.549999,47.130001,32.703060,62358400
2006-06-12,47.099998,49.160000,46.919998,48.310001,33.521847,64555600
2006-06-19,48.450001,49.189999,47.759998,47.939999,33.265110,47001100
2006-06-26,48.090000,48.849998,47.360001,48.169998,33.424694,44573700
2006-07-03,47.750000,48.049999,45.880001,46.000000,31.918959,41319700
2006-07-10,46.250000,46.730000,42.810001,43.049999,29.871981,80152100
2006-07-17,43.230000,44.610001,42.310001,43.720001,30.336884,78909900
2006-07-24,44.029999,44.889999,43.470001,44.459999,30.850365,55744600
2006-07-31,45.020000,45.450001,43.790001,44.869999,31.134869,51865900
2006-08-07,44.599998,45.049999,43.750000,44.689999,31.009966,45690400
2006-08-14,44.840000,45.430000,44.049999,44.490002,30.871181,67466200
2006-08-21,44.299999,44.380001,43.480000,43.880001,30.563169,43530100
2006-08-28,44.200001,45.799999,44.020000,45.450001,31.656708,53382700
2006-09-04,45.709999,46.810001,45.150002,46.720001,32.541275,50731300
2006-09-11,46.700001,48.840000,46.299999,48.220001,33.586040,74062400
2006-09-18,48.020000,49.060001,47.599998,48.290001,33.634815,60788500
2006-09-25,48.250000,49.950001,48.029999,49.320000,34.352207,68245000
2006-10-02,48.619999,49.610001,48.029999,48.320000,33.655704,98286700
2006-10-09,48.189999,48.669998,47.869999,48.459999,33.753208,50541400
2006-10-16,48.310001,49.730000,47.639999,49.369999,34.387043,57065800
2006-10-23,49.369999,52.150002,49.029999,50.730000,35.334286,115930500
2006-10-30,49.220001,49.779999,47.200001,47.529999,33.105450,102854000
2006-11-06,47.740002,48.209999,46.310001,46.470001,32.367153,105856600
2006-11-13,46.470001,48.200001,45.970001,47.500000,33.084560,96174000
2006-11-20,47.500000,48.240002,47.419998,47.900002,33.363159,36983500
2006-11-27,47.439999,47.689999,45.419998,45.869999,31.949247,98786400
2006-12-04,46.250000,46.799999,45.869999,46.349998,32.283566,59551400
2006-12-11,46.450001,46.889999,45.580002,46.450001,32.353210,86404600
2006-12-18,46.500000,46.799999,45.000000,45.540001,31.836540,66537200
2006-12-25,44.799999,46.610001,44.799999,46.180000,32.283966,40528400
2007-01-01,47.090000,48.299999,47.060001,47.389999,33.129860,66317200
2007-01-08,46.910000,48.110001,46.509998,47.980000,33.542328,73121700
2007-01-15,47.930000,48.779999,47.790001,48.310001,33.773022,51404300
2007-01-22,48.160000,48.700001,47.459999,47.669998,33.325611,58304300
2007-01-29,48.150002,48.419998,46.910000,48.080002,33.612236,66620800
2007-02-05,48.439999,48.900002,47.669998,47.970001,33.535343,56458700
2007-02-12,48.150002,48.849998,47.680000,48.480000,33.891876,61074700
2007-02-19,49.810001,50.419998,49.290001,49.570000,34.653873,81975500
2007-02-26,49.709999,50.049999,47.189999,47.810001,33.423496,91463600
2007-03-05,47.650002,48.290001,47.150002,47.419998,33.150829,76923100
2007-03-12,47.529999,47.630001,45.060001,46.209999,32.304935,96052900
2007-03-19,46.500000,48.200001,46.380001,47.910000,33.653725,64089700
2007-03-26,47.840000,47.919998,46.360001,46.950001,32.979378,71487500
2007-04-02,47.060001,48.450001,46.849998,48.270000,33.906586,51397500
2007-04-09,48.270000,48.549999,46.830002,47.410000,33.302490,60007200
2007-04-16,47.630001,49.840000,47.509998,49.759998,34.953224,66106500
2007-04-23,49.730000,49.950001,48.130001,48.340000,33.955750,65644600
2007-04-30,48.250000,48.750000,47.509998,48.270000,33.906586,61450100
